Registration Number,Annual Turnover,Cuisine,City,Restaurant Location,Opening Day of Restaurant,Facebook Popularity Quotient,Endorsed By,Instagram Popularity Quotient,Fire Audit,Liquor License Obtained,Situated in a Multi Complex,Dedicated Parking,Open Sitting Available,Resturant Tier,Restaurant Type,Restaurant Theme,Restaurant Zomato Rating,Restaurant City Tier,Order Wait Time,Staff Responsivness,Value for Money,Hygiene Rating,Food Rating,Overall Restaurant Rating,Live Music Rating,Comedy Gigs Rating,Value Deals Rating,Live Sports Rating,Ambience,Lively,Service,Comfortablility,Privacy
20720,50000000,"indian,irish",Hyderabad,Near Party Hub,21-01-2009,90.3,Not Specific,94.3,1,1,1,1,0,2,Bar,Greek,3,1,5,3,3,5,5,9,3,4,NA,NA,10,8,8,2,9
20721,28000000,"welsh,thai",mohali,Near Business Hub,04-10-2008,79,Tier A Celebrity,74.6,1,1,1,1,1,2,Bar,Arabian,3,0,6,5,4,5,10,8,4,NA,NA,NA,4,4,4,6,2
20722,35500000,"british,japanese",Mumbai,Near Party Hub,05-12-2010,86.15,Not Specific,83.33,1,1,0,1,1,2,Bar,Arabian,3,0,5,6,4,8,7,9,5,NA,NA,NA,4,4,6,4,1
20723,34500000,"algerian,belgian",Bangalore,Near Party Hub,20-01-2010,64.7,Tier A Celebrity,61,1,1,0,0,1,2,Bar,Greek,3,0,2,5,4,4,5,7,3,2,NA,NA,6,9,5,0,10
20724,42000000,"tibetan,greek",Pune,Near Party Hub,27-09-2010,74,Not Specific,72.6,1,1,1,1,0,2,Bar,Arabian,4,0,4,6,4,5,9,7,5,NA,3,NA,7,7,8,1,8
20725,21500000,"tibetan,greek",Noida,Near Party Hub,30-03-2010,80,Tier A Celebrity,63.4,1,1,1,1,1,2,Bar,Arabian,2,0,7,5,4,3,5,10,4,NA,NA,NA,7,4,4,4,7
20726,102500000,"nigerian,cajun",Bangalore,Near Business Hub,27-11-2012,85,Not Specific,70,1,1,1,1,1,2,Bar,Arabian,3,0,7,3,3,2,7,7,1,NA,3,NA,4,3,3,5,1
20727,48000000,"indian,irish",mumbai ,Near Business Hub,19-12-2010,85,Local Celebrity,88,1,1,1,1,1,2,Bar,90's,4,0,9,4,4,6,9,10,4,NA,NA,NA,3,2,0,4,6
20728,45000000,"indian,irish",Hyderabad,Near Business Hub,06-09-2009,85.6,Not Specific,89.8,1,1,1,1,1,2,Bar,90's,3,1,7,4,4,4,8,9,6,NA,NA,NA,4,6,3,4,5
20729,10000000,"welsh,thai",-1,Near Business Hub,07-11-2010,,Not Specific,81.3,1,1,0,1,1,2,Bar,Arabian,3,0,8,5,4,5,6,10,4,NA,NA,NA,9,6,1,3,9
20730,77500000,"turkish,nigerian",Hyderabad,Near Party Hub,02-09-2008,69.7,Tier A Celebrity,82.02,1,1,1,1,1,2,Bar,Greek,3,0,6,6,4,5,6,9,4,4,NA,NA,5,8,4,2,8
20731,25000000,"indian,irish",-1,Near Party Hub,02-09-2010,75,Tier A Celebrity,60,1,1,1,1,1,2,Bar,Greek,1,1,2,6,5,6,8,10,NA,3,NA,NA,7,10,6,3,7
20732,35000000,"japanese,thai",Pune,Near Party Hub,19-11-2007,81,Tier A Celebrity,71,1,1,1,0,1,2,Bar,Arabian,2,0,6,5,5,5,6,9,5,NA,NA,NA,7,7,2,3,7
20733,45000000,"tibetan,italian",Chennai,Near Party Hub,18-08-2008,90.6,Not Specific,91.3,1,1,0,1,1,2,Bar,Arabian,3,0,7,4,4,5,10,8,4,NA,NA,NA,8,8,5,5,6
20734,47000000,"welsh,thai",Mumbai,Near Party Hub,26-11-2008,82.33,Not Specific,76.89,1,1,0,1,0,2,Bar,90's,1,1,10,5,6,6,7,9,5,NA,NA,NA,6,8,4,2,3
20735,30000000,"tibetan,greek",Noida,Near Party Hub,04-04-2012,88,Tier A Celebrity,82,1,1,1,1,1,2,Bar,TheGem,2,0,5,4,5,4,10,10,4,NA,4,NA,6,6,4,5,4
20736,31500000,"tibetan,greek",Hyderabad,Near Party Hub,05-06-2010,72,Tier A Celebrity,68.4,1,1,1,1,1,2,Bar,90's,2,0,10,6,4,6,10,9,6,NA,6,NA,6,6,4,0,7
20737,18000000,"welsh,thai",-1,Near Party Hub,08-04-2011,58.83,Not Specific,66,0,1,1,1,1,2,Caffee,Arabian,3,0,5,4,5,3,7,6,5,NA,2,NA,6,7,2,7,4
20738,28000000,"indian,irish",Bangalore,Near Party Hub,04-05-2009,75.36,Not Specific,60.16,0,1,1,1,1,2,Bar,Greek,1,0,8,3,4,3,10,7,NA,3,NA,NA,5,7,6,2,7
20739,29000000,"cuban,british",Visakhapatnam,Near Party Hub,27-06-2009,80.2,Not Specific,91.9,1,1,1,1,1,2,Bar,90's,2,0,5,4,4,4,8,9,5,NA,NA,NA,10,7,4,2,7
20740,21000000,"tibetan,italian",Jaipur,Near Business Hub,19-04-2012,71,Not Specific,64,1,1,1,1,1,2,Bar,90's,3,1,6,4,4,5,6,7,3,NA,3,NA,9,7,6,2,7
20741,30500000,"japanese,thai",Kolkata,Near Party Hub,19-10-2007,67,Not Specific,73,1,1,0,0,1,2,Bar,Arabian,3,0,10,4,4,6,8,7,3,NA,NA,NA,9,8,6,4,9
20742,24000000,"algerian,korean",Hyderabad,Near Party Hub,03-08-2011,86.6,Not Specific,78.4,0,1,1,1,1,2,Bar,Arabian,2,1,5,3,4,5,10,6,2,NA,2,NA,6,8,3,5,9
20743,49000000,"tibetan,greek",Mumbai,Near Party Hub,04-12-2009,79.8,Tier A Celebrity,81.2,1,1,1,1,1,2,Bar,Arabian,4,0,3,5,5,6,8,9,5,NA,NA,NA,5,7,1,4,6
20744,64500000,"turkish,sapnish",Mangalore,Near Party Hub,30-05-2008,86.6,Not Specific,77.6,1,1,1,1,1,2,Bar,Arabian,2,0,5,6,5,5,5,9,5,NA,NA,NA,5,8,5,2,6
20745,9500000,"peruvian,cuban",-1,Near Party Hub,29-04-2010,82,Not Specific,87,1,1,1,1,1,2,Bar,90's,3,1,3,6,6,5,7,10,4,NA,NA,NA,10,10,8,0,7
20746,18000000,"tibetan,greek",Bangalore,Near Business Hub,21-07-2008,79.28,Not Specific,69.33,1,1,1,0,1,2,Bar,Arabian,2,1,8,4,5,4,6,8,4,NA,NA,NA,9,8,6,5,10
20747,52500000,"welsh,thai",Navi Mumbai,Near Party Hub,30-12-2009,74,Tier A Celebrity,64,1,1,0,1,1,2,Bar,Arabian,3,0,9,5,5,5,7,7,4,NA,3,NA,8,7,6,4,9
20748,50000000,"peruvian,cuban",Jaipur,Near Party Hub,14-04-2007,80.6,Not Specific,77.6,1,1,0,1,1,2,Bar,Greek,2,1,5,5,4,4,6,8,NA,3,NA,NA,6,7,7,6,7
20749,17000000,"swedish,greek",delhi,Near Party Hub,28-06-2010,61.6,Tier A Celebrity,61.2,1,1,1,1,1,2,Bar,Arabian,2,0,2,4,4,4,10,9,3,NA,4,NA,9,6,9,4,8
20750,22500000,"indian,irish",Jagdalpur,Near Party Hub,26-07-2012,90.3,Not Specific,94.2,1,1,0,1,1,2,Bar,Nature,3,0,2,5,4,4,8,10,1,NA,NA,4,6,4,5,5,6
20751,30000000,"tibetan,greek",Pune,Near Business Hub,20-10-2011,85.2,Tier A Celebrity,80.2,1,1,1,1,1,2,Bar,Parsi,4,0,5,5,4,5,6,10,3,NA,NA,NA,7,9,7,0,6
20752,21500000,"british,japanese",noida,Near Party Hub,09-07-2012,70,Not Specific,76,0,1,1,1,1,2,Bar,Arabian,2,0,4,3,4,3,8,7,3,NA,3,NA,9,10,8,1,8
20753,31000000,"tibetan,greek",Bangalore,Near Business Hub,23-02-2011,83,Not Specific,87.5,1,1,1,1,1,2,Bar,90's,4,1,10,4,5,4,10,10,3,NA,4,NA,6,6,6,0,6
20754,20000000,"british,japanese",Gurgaon,Near Business Hub,20-11-2011,77.4,Tier A Celebrity,74.8,1,1,1,1,0,2,Bar,90's,3,1,7,3,5,4,9,8,4,NA,3,NA,8,9,5,4,8
20755,18500000,"turkish,nigerian",Hyderabad,Near Party Hub,15-08-2012,76.5,Not Specific,74.5,1,1,1,1,0,2,Bar,Greek,2,0,4,4,5,4,9,10,3,NA,NA,NA,7,7,5,3,7
20756,24500000,"irish,belgian",Ghaziabad,Near Party Hub,06-04-2008,66.67,Not Specific,76,1,1,0,1,1,2,Bar,Greek,3,0,5,7,5,5,5,NA,NA,NA,NA,NA,7,6,2,1,2
20757,35000000,"tibetan,greek",Gurgaon,Near Business Hub,27-12-2009,80,Tier A Celebrity,82.4,1,1,1,1,1,2,Bar,90's,3,0,5,4,4,6,5,8,3,NA,NA,NA,3,5,6,5,7
20758,10500000,"indian,irish",Bangalore,Near Party Hub,28-05-2007,55,Not Specific,46,0,1,1,1,1,2,Caffee,Arabian,2,1,7,5,3,2,7,8,4,NA,NA,NA,7,5,3,5,7
20759,30000000,"british,japanese",Mumbai,Near Party Hub,23-04-2009,67.2,Not Specific,74.88,1,1,0,1,1,2,Bar,English,2,1,3,3,4,3,10,7,NA,3,NA,NA,5,4,3,6,8
20760,42000000,"tibetan,italian",Mumbai,Near Party Hub,13-08-2009,79.8,Tier A Celebrity,78.2,1,1,0,1,1,2,Bar,Greek,2,0,7,4,6,4,7,7,NA,2,NA,NA,5,6,3,2,5
20761,32500000,"tibetan,greek",Hyderabad,Near Party Hub,27-03-2008,78.8,Not Specific,68.33,1,1,1,1,0,2,Bar,Arabian,2,0,1,5,4,3,9,9,5,NA,NA,NA,5,6,6,2,4
20762,30500000,"algerian,belgian",Bangalore,Near Party Hub,09-11-2009,88.8,Tier A Celebrity,84.67,0,1,1,1,1,2,Bar,Greek,3,1,1,6,6,6,8,9,5,5,NA,NA,6,9,5,6,9
20763,25000000,"british,japanese",Pune,Near Party Hub,03-05-2010,77,Tier A Celebrity,65,1,1,1,1,0,2,Bar,90's,1,1,5,7,5,6,9,10,4,NA,NA,NA,3,5,2,3,5
20764,30000000,"turkish,nigerian",Noida,Near Business Hub,01-12-2011,84.2,Tier A Celebrity,87.2,1,1,0,1,1,1,Bar,Greek,3,0,6,6,4,5,5,7,NA,2,NA,NA,5,8,7,0,7
20765,35000000,"tibetan,greek",Pune,Near Business Hub,17-08-2008,85.06,Not Specific,76.5,1,1,1,1,1,1,Gastro Bar,Benedicta,4,1,5,6,6,6,10,9,4,5,NA,NA,3,4,2,1,6
20766,35000000,"tibetan,greek",Chennai ,Near Party Hub,16-07-2009,89,Not Specific,91,1,1,1,1,1,2,Bar,Arabian,4,1,7,5,5,4,8,9,5,NA,NA,NA,5,7,6,3,4
20767,30000000,"tibetan,greek",pune,Near Business Hub,19-02-2011,73,Tier A Celebrity,60,1,1,0,1,1,2,Bar,Greek,3,0,4,4,4,2,10,9,NA,5,2,NA,6,7,5,5,5
20768,34000000,"japanese,thai",Chennai,Near Party Hub,27-01-2010,88.5,Tier A Celebrity,81.6,1,1,1,1,1,2,Bar,Arabian,3,0,8,4,5,8,5,9,5,NA,4,NA,8,7,4,0,4
20769,14500000,"polish,jewish",Bangalore,Near Party Hub,25-02-2007,80.88,Not Specific,66.3,1,1,1,1,1,2,Gastro Bar,Moonrise,5,0,8,5,5,4,9,NA,4,NA,NA,NA,8,9,5,1,8
20770,20000000,"tibetan,greek",Hyderabad,Near Party Hub,07-12-2010,87.2,Tier A Celebrity,70.6,1,1,0,1,0,2,Bar,Chinese,3,0,1,6,5,7,10,10,3,NA,NA,NA,6,7,8,6,6
20771,28500000,"welsh,thai",New Delhi,Near Party Hub,04-11-2009,82,Tier A Celebrity,76,1,1,1,1,1,2,Bar,Arabian,2,0,4,7,6,5,6,9,5,NA,NA,NA,9,7,4,2,7
20772,130000000,"algerian,korean",angul,Near Party Hub,07-05-2005,72.5,Not Specific,58.6,1,1,1,1,1,2,Bar,English,4,0,9,5,3,7,7,9,4,4,NA,NA,5,8,2,2,7
20773,32000000,"british,japanese",Baroda,Near Party Hub,13-04-2005,65.8,Tier A Celebrity,67.6,1,1,1,1,0,2,Caffee,Arabian,2,0,8,4,4,5,7,10,4,NA,4,NA,5,6,5,4,7
20774,16000000,"algerian,korean",Bhubaneswar,Near Business Hub,19-07-2010,88.88,Not Specific,71,1,1,1,0,0,2,Bar,Greek,4,0,10,3,4,4,8,9,NA,4,NA,NA,9,9,3,0,7
20775,34000000,"polish,jewish",-1,Near Party Hub,31-07-2009,73.5,Not Specific,71.8,0,1,1,1,1,2,Bar,90's,4,1,6,5,6,6,7,9,7,NA,6,NA,9,9,6,4,9
20776,32500000,"swedish,greek",pune,Near Party Hub,07-09-2010,71.4,Tier A Celebrity,60.4,0,1,1,1,1,2,Bar,Greek,3,1,2,6,5,5,9,7,3,2,NA,NA,4,5,6,3,6
20777,21000000,"british,japanese",Jaipur,Near Party Hub,23-01-2011,76,Not Specific,64,0,1,0,1,1,2,Bar,Arabian,2,0,3,4,4,3,5,10,4,NA,NA,NA,8,7,5,4,9
20778,31500000,"tibetan,greek",Bangalore,Near Party Hub,22-09-2011,77.8,Tier A Celebrity,77,1,1,1,1,1,2,Bar,Greek,2,0,8,5,3,4,9,8,3,3,NA,NA,6,8,2,4,2
20779,48000000,"tibetan,greek",gurgaon,Near Party Hub,07-05-2008,65.2,Tier A Celebrity,62.2,1,1,1,1,1,2,Bar,90's,3,0,2,4,6,6,9,9,6,NA,NA,NA,9,7,7,3,6
20780,350000000,"british,japanese",Pune,Near Business Hub,02-08-2009,76.8,Not Specific,85.36,1,1,1,1,1,2,Bar,Arabian,2,0,6,4,5,3,9,9,6,NA,NA,NA,7,7,4,3,8
20781,32500000,"tibetan,greek",Bangalore,Near Party Hub,24-08-2011,96,Tier A Celebrity,87,1,1,1,1,1,2,Bar,90's,3,0,3,6,5,6,5,9,6,NA,NA,NA,6,9,6,4,8
20782,7000000,"swedish,greek",chennai,Near Party Hub,29-12-2011,89,Not Specific,80,1,1,1,0,1,2,Bar,Greek,3,0,3,2,4,2,5,6,NA,1,NA,NA,5,5,2,4,8
20783,30000000,"turkish,nigerian",Kochi/Cochin,Near Party Hub,20-09-2006,74.4,Tier A Celebrity,70.6,1,1,1,1,1,2,Bar,Greek,2,1,6,6,4,5,5,10,4,3,NA,NA,7,6,3,4,7
20784,19000000,"turkish,nigerian",Chennai,Near Party Hub,01-05-2010,75,Tier A Celebrity,79,0,1,1,0,1,2,Bar,Greek,3,0,5,6,5,1,5,10,NA,3,NA,NA,2,6,3,5,5
20785,91000000,"turkish,nigerian",Bangalore,Near Party Hub,21-12-2009,61.2,Tier A Celebrity,50,1,1,1,1,1,2,Bar,Greek,2,1,4,5,5,5,8,10,4,3,NA,NA,9,8,7,3,5
20786,30000000,"turkish,nigerian",Noida,Near Business Hub,01-09-2006,65,Tier A Celebrity,60,1,1,1,1,0,2,Bar,Arabian,2,0,9,4,4,3,10,8,3,NA,NA,NA,8,7,6,1,7
20787,10000000,"welsh,thai",-1,Near Business Hub,10-03-2009,75.4,Tier A Celebrity,68.7,1,1,0,0,1,2,Bar,90's,2,1,3,5,4,4,10,10,4,NA,NA,NA,6,8,4,6,7
20788,57000000,"algerian,belgian", ariyalur,Near Party Hub,01-01-2008,84.2,Not Specific,87.4,1,1,1,0,1,2,Bar,Greek,3,0,2,3,4,2,8,7,4,2,NA,NA,8,8,6,2,6
20789,18000000,"british,japanese",Jowai,Near Party Hub,08-01-2008,66.5,Tier A Celebrity,65.5,1,1,1,1,0,2,Gastro Bar,Resca,0,0,8,4,4,5,5,NA,NA,3,NA,NA,8,6,2,4,4
20790,31000000,"tibetan,greek",Chennai,Near Business Hub,29-08-2009,81.4,Tier A Celebrity,79.6,0,1,1,0,0,2,Bar,Greek,3,1,9,5,5,5,8,9,4,NA,NA,NA,7,7,3,0,7
20791,12000000,"tibetan,greek",New Delhi,Near Party Hub,19-12-2008,68.66,Not Specific,61.8,1,1,1,1,1,2,Bar,Arabian,2,0,1,4,3,4,9,8,4,NA,3,NA,7,9,6,7,9
20792,35000000,"algerian,belgian",Bangalore,Near Party Hub,12-05-2010,,Not Specific,55.54,1,1,1,1,1,2,Bar,Arabian,3,1,10,4,5,5,6,9,5,NA,NA,NA,6,6,4,3,5
20793,33500000,"tibetan,greek",-1,Near Party Hub,07-07-2011,86.7,Not Specific,90.2,1,1,1,1,1,2,Bar,Greek,4,1,6,6,6,5,9,7,4,2,NA,NA,5,6,4,7,7
20794,44500000,"welsh,thai",-1,Near Party Hub,03-12-2004,63.2,Not Specific,68.89,0,1,1,1,1,2,Caffee,Arabian,3,0,4,4,5,5,7,9,5,NA,NA,NA,7,6,4,1,6
20795,38500000,"swedish,greek","Kochi/Cochin, Chennai and Coimbatore",Near Party Hub,24-04-2008,93.6,Not Specific,74,1,0,1,0,0,2,Caffee,Arabian,2,0,4,6,4,3,7,10,4,NA,NA,NA,8,9,8,2,8
20796,18000000,"turkish,nigerian",New Delhi,Near Party Hub,08-09-2011,62.2,Not Specific,68.2,0,1,1,1,1,2,Bar,Greek,2,0,4,5,4,3,5,10,4,3,NA,NA,7,8,6,5,6
20797,30000000,"tibetan,italian",New Delhi,Near Party Hub,20-12-2012,68.2,Not Specific,67.4,1,1,1,1,1,2,Bar,Arabian,2,0,3,4,4,3,8,7,2,NA,3,NA,8,7,6,7,6
20798,44000000,"british,belgian",KOLKATA,Near Party Hub,13-12-2009,84.4,Not Specific,84.4,1,1,1,0,1,2,Bar,Nature,4,0,9,5,4,5,7,9,NA,NA,NA,5,10,7,3,0,5
20799,42500000,"hawaiian,latvian",Bangalore,Near Party Hub,01-07-2010,76,Tier A Celebrity,79,1,1,1,1,1,2,Bar,Arabian,2,0,7,5,6,6,9,9,4,NA,5,NA,6,9,8,5,9
20800,18000000,"chinese,salvadorian",Delhi,Near Party Hub,29-04-2010,77.85,Not Specific,64.8,1,1,1,1,1,2,Bar,Greek,2,0,4,4,4,5,5,10,NA,3,NA,NA,8,7,3,7,8
20801,19500000,"welsh,thai",Bangalore,Near Party Hub,13-01-2011,73,Not Specific,66,1,1,0,0,1,2,Bar,Arabian,3,0,2,3,5,3,9,7,2,NA,3,NA,10,8,5,0,7
20802,32500000,"japanese,thai",Pune,Near Business Hub,02-04-2009,78,Not Specific,82,0,1,0,1,1,2,Bar,Arabian,3,0,4,5,5,4,9,10,4,NA,NA,NA,6,8,6,1,6
20803,45000000,"turkish,sapnish",Bangalore,Near Party Hub,21-07-2010,83.3,Not Specific,82.3,1,1,1,1,1,2,Bar,Greek,3,1,8,6,5,5,10,8,4,3,NA,NA,6,5,5,0,3
20804,28000000,"british,japanese",Gurgaon,Near Party Hub,10-07-2009,66.6,Tier A Celebrity,58.2,0,1,1,0,0,2,Bar,Arabian,2,0,6,4,5,4,8,9,5,NA,NA,NA,6,7,6,5,9
20805,47500000,"peruvian,cuban",Bangalore,Near Party Hub,30-04-2009,72,Not Specific,68,1,1,1,1,1,2,Bar,90's,2,0,10,4,3,3,7,10,4,NA,NA,NA,9,9,4,4,7
20806,25000000,"welsh,thai",New Delhi,Near Party Hub,26-11-2010,83,Tier A Celebrity,76,1,1,1,0,1,2,Bar,Arabian,2,0,1,5,3,4,6,7,1,NA,3,NA,5,8,7,2,9
20807,24000000,"welsh,thai",Dehradun,Near Party Hub,28-05-2009,69,Not Specific,66,1,1,0,1,1,2,Caffee,Arabian,3,0,8,4,5,5,5,6,5,NA,2,NA,7,9,7,2,7
20808,20000000,"welsh,thai",Noida,Near Business Hub,09-09-2009,56.78,Not Specific,48.34,0,1,0,1,1,2,Bar,90's,2,0,8,3,4,5,10,6,3,NA,NA,NA,5,7,4,1,8
20809,18000000,"peruvian,cuban",Bhopal,Near Party Hub,28-02-2010,78.4,Not Specific,81.5,0,1,1,1,0,2,Bar,Greek,3,0,3,3,4,4,7,8,NA,3,NA,NA,6,8,5,7,6
20810,12000000,"welsh,thai",bhubaneswar,Near Party Hub,11-08-2010,73,Not Specific,54.2,1,1,1,0,1,2,Bar,Arabian,2,0,2,4,4,5,7,8,4,NA,3,NA,7,9,6,4,8
20811,10000000,"chinese,salvadorian",Bangalore,Near Party Hub,04-03-2007,83.04,Not Specific,72.6,0,1,1,1,1,2,Gastro Bar,Greek,2,0,1,5,3,3,10,7,4,NA,NA,NA,9,8,4,5,8
20812,36000000,"tibetan,greek",Hyderabad,Near Party Hub,20-08-2010,91,Not Specific,92.7,1,1,1,1,1,2,Bar,Greek,3,1,7,4,5,5,7,10,NA,3,NA,NA,9,10,5,4,6
20813,25500000,"welsh,thai",Neemrana,Near Party Hub,16-09-2009,71.1,Not Specific,71.01,1,1,1,1,1,2,Bar,Nature,2,0,6,4,4,5,6,10,NA,NA,NA,4,7,7,5,4,7
20814,30000000,"indian,irish",Hyderabad,Near Party Hub,03-06-2011,90.6,Not Specific,94.3,1,1,1,0,1,2,Bar,Greek,4,0,6,5,4,6,10,8,4,3,NA,NA,8,8,6,0,8
20815,20000000,"algerian,algerian",Pune,Near Party Hub,15-12-2009,76.53,Not Specific,85,0,1,1,1,1,2,Bar,Parsi,1,1,2,3,3,3,6,7,NA,2,NA,NA,8,6,5,5,5
20816,33500000,"japanese,thai",Chennai,Near Party Hub,07-12-2011,86.4,Tier A Celebrity,82.8,1,1,1,1,1,2,Bar,Chinese,3,0,9,5,5,5,8,10,3,3,NA,NA,8,8,6,3,9
20817,35000000,"algerian,korean",Hyderabad,Near Business Hub,24-07-2009,87,Not Specific,91,0,1,0,0,1,2,Bar,Greek,3,1,9,6,6,5,7,10,3,3,NA,NA,8,9,7,0,8
20818,40000000,"polish,jewish",-1,Near Party Hub,09-06-2008,78.8,Tier A Celebrity,53.8,0,1,1,1,0,2,Bar,Arabian,2,0,10,5,4,5,5,7,3,NA,NA,NA,7,8,6,3,5
20819,30000000,"turkish,sapnish",Lucknow,Near Party Hub,10-08-2010,59,Tier A Celebrity,60,1,1,1,1,1,2,Bar,Arabian,2,0,2,4,6,5,7,10,4,NA,NA,NA,4,5,1,2,1
20820,35000000,"chinese,salvadorian",Bangalore,Near Party Hub,11-06-2012,74.83,Not Specific,,1,1,0,1,0,2,Bar,Arabian,2,0,2,3,5,5,10,10,3,NA,4,NA,7,5,8,2,8
20821,13000000,"turkish,sapnish",Chennai,Near Party Hub,29-01-2011,80,Not Specific,79,1,1,1,1,1,2,Bar,Arabian,3,0,2,4,3,3,6,6,3,NA,2,NA,4,8,7,5,5
20822,31500000,"turkish,sapnish",Bangalore,Near Business Hub,18-03-2010,91,Not Specific,86,1,1,1,1,1,2,Bar,90's,4,0,6,4,5,4,5,8,4,NA,NA,NA,4,8,6,5,8
20823,10500000,"british,belgian",VIZAG,Near Party Hub,08-08-2011,84,Not Specific,89.5,1,1,1,0,0,2,Bar,Nature,3,0,6,5,4,4,10,10,3,NA,NA,4,9,9,5,0,7
20824,43500000,"tibetan,greek",Pune,Near Party Hub,02-05-2008,59.3,Not Specific,60.4,1,1,1,1,1,2,Bar,Arabian,2,0,5,4,6,4,8,10,4,NA,NA,NA,9,8,7,4,6
20825,12000000,"algerian,belgian",-1,Near Business Hub,22-04-2008,73.2,Tier A Celebrity,59,1,1,1,1,1,2,Bar,Arabian,2,0,3,5,5,5,7,9,5,NA,NA,NA,8,4,2,1,6
20826,42000000,"indian,irish",Noida,Near Party Hub,29-03-2011,78.6,Tier A Celebrity,70.2,1,1,1,1,0,2,Bar,Arabian,3,0,2,4,5,5,9,8,4,NA,NA,NA,6,5,6,2,5
20827,18000000,"turkish,nigerian",-1,Near Party Hub,08-12-2010,82.4,Tier A Celebrity,72.4,1,1,0,1,1,2,Bar,Greek,3,0,8,5,4,6,8,6,NA,1,NA,NA,4,5,3,5,6
20828,36000000,"tibetan,greek",-1,Near Party Hub,03-10-2008,86.33,Not Specific,86.8,1,1,1,1,1,2,Bar,Arabian,2,1,8,4,4,5,6,9,5,NA,NA,NA,6,3,6,6,5
20829,19500000,"peruvian,cuban",-1,Near Party Hub,26-06-2005,64.83,Not Specific,56.6,1,1,1,1,1,2,Bar,Greek,2,0,9,4,4,6,7,8,2,3,NA,NA,7,8,6,4,7
20830,12000000,"algerian,korean",Kolkata,Near Party Hub,23-01-2009,72.1,Not Specific,77.2,1,1,1,1,1,2,Bar,90's,2,1,2,4,5,4,10,8,4,NA,3,NA,9,8,6,1,9
20831,35000000,"tibetan,greek",Pune,Near Party Hub,11-10-2009,88,Tier A Celebrity,77.2,1,1,0,1,1,2,Bar,Parsi,2,0,7,5,6,6,8,6,NA,2,NA,NA,7,8,7,4,7
20832,32000000,"chinese,salvadorian",pune,Near Party Hub,12-11-2010,83.3,Tier A Celebrity,81,0,1,1,1,1,2,Bar,Greek,3,0,5,7,5,6,8,8,4,NA,NA,NA,6,7,5,2,5
20833,28000000,"indian,irish",Bangalore,Near Party Hub,11-01-2011,61.1,Not Specific,60,1,1,1,1,0,2,Bar,90's,2,0,5,3,4,1,8,8,3,NA,NA,NA,7,6,5,3,5
20834,25500000,"chinese,salvadorian",Tirupathi,Near Party Hub,30-06-2010,82,Not Specific,91.9,1,1,0,1,0,2,Bar,Nature,2,0,9,4,5,6,9,9,NA,NA,NA,5,7,7,3,2,6
20835,31000000,"japanese,thai",Bangalore,Near Business Hub,19-08-2011,85,Tier A Celebrity,83,1,1,1,1,0,2,Bar,Arabian,3,0,3,5,5,5,8,10,5,NA,4,NA,7,9,7,2,7
20836,20000000,"british,japanese",Noida,Near Party Hub,31-12-2009,74,Not Specific,65.4,0,1,1,1,1,2,Bar,Arabian,2,0,7,5,5,6,7,10,4,NA,NA,NA,7,8,4,2,6
20837,41500000,"british,japanese",Gurgaon,Near Party Hub,21-02-2010,86.83,Tier A Celebrity,75.2,1,1,1,1,0,1,Bar,Chinese,2,0,3,6,5,7,9,6,3,2,NA,NA,5,8,4,5,6
20838,10000000,"peruvian,cuban",pune,Near Party Hub,11-03-2013,76.5,Not Specific,66.77,1,1,1,0,1,2,Bar,Greek,2,0,7,3,4,4,6,8,NA,3,NA,NA,5,3,1,4,4
20839,20000000,"polish,jewish",Gurgaon,Near Party Hub,11-02-2010,72,Tier A Celebrity,62,1,1,1,0,1,2,Bar,Arabian,2,0,4,3,3,2,6,8,4,NA,NA,NA,9,7,5,4,5
20840,31500000,"turkish,sapnish",Mumbai,Near Party Hub,27-09-2008,78.8,Tier A Celebrity,71.6,1,1,1,1,1,2,Bar,Greek,3,0,10,7,5,7,7,9,NA,5,NA,NA,7,9,5,2,7
20841,22000000,"indian,irish",New Delhi,Near Party Hub,06-10-2009,70.8,Tier A Celebrity,73,1,1,1,1,1,2,Bar,Arabian,3,0,7,3,6,6,9,9,5,NA,NA,NA,4,4,3,7,2
20842,20000000,"turkish,sapnish",Noida,Near Party Hub,27-02-2010,94,Not Specific,86,1,1,1,1,1,2,Bar,Nature,4,0,3,6,4,5,9,8,3,NA,NA,4,8,7,3,2,6
20843,18000000,"welsh,thai",Mysore,Near Party Hub,08-08-2012,80.3,Not Specific,90.6,1,1,1,1,1,2,Bar,Greek,3,0,3,4,4,5,9,NA,3,NA,NA,NA,8,8,3,5,7
20844,34500000,"tibetan,greek",Mumbai,Near Business Hub,14-07-2008,84.5,Tier A Celebrity,82.66,1,1,1,0,0,2,Bar,Greek,3,0,5,5,4,5,8,7,4,2,NA,NA,9,9,4,3,8
20845,41500000,"turkish,nigerian",Chennai,Near Party Hub,18-05-2008,93.4,Not Specific,89.08,1,1,1,1,1,2,Bar,Arabian,4,0,4,4,3,6,10,10,4,NA,NA,NA,8,8,6,2,7
20846,32500000,"indian,irish",Lucknow ,Near Party Hub,24-06-2011,73.5,Not Specific,71,1,1,1,0,0,2,Bar,Nature,3,0,7,5,5,5,10,9,NA,NA,NA,4,8,8,6,0,8
